"title","author","author_url","rating","voters_count","url"
"Elizabeth","Tom McGregor","https://www.25eads.com/author/show/5601.Tom_McGregor","3.33","73","https://goodreads.com/book/show/9782898-elizabeth"
"Hier kommt Lola! (Lola, #1)","Isabel Abedi","https://www.goodreads.com/author/show/112719.Isabel_Abedi","3.94","367","https://goodreads.com/book/show/6593448-hier-kommt-lola"
"A Very British Murder","Lucy Worsley","https://www.goodreads.com/author/show/541690.Lucy_Worsley","3.78","2288","https://goodreads.com/book/show/18042000-a-very-british-murder"
"Bartosz Beda: Hear my voice","Bartosz Beda","https://www.goodreads.com/author/show/16991635.Bartosz_Beda","4.33","3","https://goodreads.com/book/show/35553989-bartosz-beda"
"Call Me Mrs. Miracle - Keajaiban Natal (Angelic Intervention, #8)","Debbie Macomber","https://www.goodreads.com/author/show/11349.Debbie_Macomber","4.15","7171","https://goodreads.com/book/show/13423081-call-me-mrs-miracle---keajaiban-natal"
"The Glass Menagerie","Tennessee Williams","https://www.goodreads.com/author/show/7751.Tennessee_Williams","3.7","106871","https://goodreads.com/book/show/92517.The_Glass_Menagerie"
"The English Patient","Michael Ondaatje","https://www.goodreads.com/author/show/4030.Michael_Ondaatje","3.88","107996","https://goodreads.com/book/show/11713.The_English_Patient"
"Circle of Friends","Maeve Binchy","https://www.goodreads.com/author/show/3532.Maeve_Binchy","4.03","57131","https://goodreads.com/book/show/41977.Circle_of_Friends"
"Stuart Little","E.B. White","https://www.goodreads.com/author/show/988142.E_B_White","3.89","103993","https://goodreads.com/book/show/703203.Stuart_Little"
"The Chosen (Reuven Malther #1)","Chaim Potok","https://www.goodreads.com/author/show/7385.Chaim_Potok","4.05","80971","https://goodreads.com/book/show/187181.The_Chosen"
"Vision Quest","Terry Davis","https://www.goodreads.com/author/show/229697.Terry_Davis","3.87","277","https://goodreads.com/book/show/450110.Vision_Quest"
"Slaughterhouse-Five","Kurt Vonnegut Jr.","https://www.goodreads.com/author/show/2778055.Kurt_Vonnegut_Jr_","4.07","1070","https://goodreads.com/book/show/4981.Slaughterhouse_Five"
"Io non ho paura","Niccolò Ammaniti","https://www.goodreads.com/author/show/243571.Niccol_Ammaniti","3.83","15007","https://goodreads.com/book/show/151633.Io_non_ho_paura"
"The Little House","Virginia Lee Burton","https://www.goodreads.com/author/show/15450.Virginia_Lee_Burton","4.29","37557","https://goodreads.com/book/show/153540.The_Little_House"
"Different Seasons","Stephen King","https://www.goodreads.com/author/show/3389.Stephen_King","4.35","164753","https://goodreads.com/book/show/39662.Different_Seasons"
"Make Room! Make Room!","Harry Harrison","https://www.goodreads.com/author/show/16147.Harry_Harrison","3.72","6257","https://goodreads.com/book/show/473850.Make_Room_Make_Room_"
"The Girl","Catherine Cookson","https://www.goodreads.com/author/show/83837.Catherine_Cookson","3.99","1147","https://goodreads.com/book/show/2041647.The_Girl"
"Disney Planes The Junior Novelization","Irene Trimble","https://www.goodreads.com/author/show/15843.Irene_Trimble","4.07","30","https://goodreads.com/book/show/13642692-disney-planes-the-junior-novelization"
"The Black Dahlia (L.A. Quartet, #1)","James Ellroy","https://www.goodreads.com/author/show/2887.James_Ellroy","3.75","76668","https://goodreads.com/book/show/21704.The_Black_Dahlia"
"The Runaway Jury","John Grisham","https://www.goodreads.com/author/show/721.John_Grisham","3.98","255713","https://goodreads.com/book/show/24192.The_Runaway_Jury"
"Kick-Ass","Mark Millar","https://www.goodreads.com/author/show/12736.Mark_Millar","4.05","35721","https://goodreads.com/book/show/3918010-kick-ass"
"The Ipcress File (Secret File, #1)","Len Deighton","https://www.goodreads.com/author/show/31234.Len_Deighton","3.95","14528","https://goodreads.com/book/show/171624.The_Ipcress_File"
"The Stoning of Soraya M.: A Story of Injustice in Iran","Freidoune Sahebjam","https://www.goodreads.com/author/show/113237.Freidoune_Sahebjam","3.93","2766","https://goodreads.com/book/show/9679169-the-stoning-of-soraya-m"
"North Korean Government: A Contemporary History (Nutshell Books Book 1)","Nutshell Books","https://www.goodreads.com/author/show/18087450.Nutshell_Books","4.67","3","https://goodreads.com/book/show/40367421-north-korean-government"
"Killshot","Elmore Leonard","https://www.goodreads.com/author/show/12940.Elmore_Leonard","3.72","5399","https://goodreads.com/book/show/3288123-killshot"
"Sounder","William H. Armstrong","https://www.goodreads.com/author/show/117775.William_H_Armstrong","3.97","27359","https://goodreads.com/book/show/598117.Sounder"
"Dear John","Nicholas Sparks","https://www.goodreads.com/author/show/2345.Nicholas_Sparks","4.03","519735","https://goodreads.com/book/show/5526.Dear_John"
"Before I Go to Sleep","S.J. Watson","https://www.goodreads.com/author/show/4470653.S_J_Watson","3.89","268512","https://goodreads.com/book/show/9736930-before-i-go-to-sleep"
"Because of Winn-Dixie","Kate DiCamillo","https://www.goodreads.com/author/show/13663.Kate_DiCamillo","4.04","190039","https://goodreads.com/book/show/357664.Because_of_Winn_Dixie"
"Little Dorrit","Charles Dickens","https://www.goodreads.com/author/show/239579.Charles_Dickens","3.99","42402","https://goodreads.com/book/show/6591071-little-dorrit"
